,Auto,Consumer,Energy,Financials,IT,Industrials,Materials,Pharma
CUT,7.504337799497967e-13,28.593079281239575,23.581997417097778,25.12078211225714,7.275483282769822,2.187513458483479e-13,5.151478124370768,10.27717978226631
HOLD,2.732050473963036e-13,2.1679223957155081e-13,21.793094934524856,9.795300939747002e-14,2.0700540108748206e-13,1.3924137643726418e-14,13.011682055739291,27.575770396787558
HIKE,4.449303765611962e-13,80.20645095448296,1.2950155505003075e-12,3.7108970458438517e-13,0.0,18.0828803009955,1.7106687445227322,2.1421207393639928e-13
Equal Weight,12.244897959183673,14.285714285714285,10.204081632653061,20.408163265306122,12.244897959183673,8.16326530612245,12.244897959183673,10.204081632653061
